record_id,model,config,config_label,prompt,temperature,top_p,repeat_penalty,num_predict_used,num_ctx_used,tokens_generated,done_reason,tokens_per_sec,char_count,word_count,sentence_count,paragraph_count,unique_words,ttr,herdan_c,avg_sentence_len,std_sentence_len,avg_word_len,avg_para_len,discourse_markers,discourse_per_100w,lexical_density,long_sentences_pct,short_sentences_pct,repeat_word_pct,txt_file
qwen3:14b__std__prompt_maxlength,qwen3:14b,std,Standard,prompt_maxlength,0.9,0.95,1.0,96000,65536,96001,length,85.78,539084,78565,2392,800,1566,0.0199,0.6526,32.84,5.83,5.66,3.04,762,0.97,0.6324,61.41,0.0,32.12,generated_texts/qwen3-14b__std__prompt_maxlength.txt
qwen3:14b__std__prompt_detailed,qwen3:14b,std,Standard,prompt_detailed,0.9,0.95,1.0,96000,65536,10351,stop,110.23,54263,8168,279,90,1300,0.1592,0.796,29.28,11.21,5.49,3.29,61,0.75,0.5764,48.39,5.73,28.0,generated_texts/qwen3-14b__std__prompt_detailed.txt
qwen3:14b__creative__prompt_standard,qwen3:14b,creative,Creative,prompt_standard,1.1,0.98,1.0,96000,65536,12073,stop,109.06,56370,8009,292,70,1988,0.2482,0.845,27.42,8.0,5.78,4.3,74,0.92,0.638,31.51,0.0,19.27,generated_texts/qwen3-14b__creative__prompt_standard.txt
qwen3:14b__creative__prompt_maxlength,qwen3:14b,creative,Creative,prompt_maxlength,1.1,0.98,1.0,96000,65536,4754,stop,115.25,24523,3417,106,8,1168,0.3418,0.8681,32.24,6.58,6.05,13.25,11,0.32,0.6409,60.38,0.0,12.5,generated_texts/qwen3-14b__creative__prompt_maxlength.txt
qwen3:14b__creative__prompt_detailed,qwen3:14b,creative,Creative,prompt_detailed,1.1,0.98,1.0,96000,65536,3541,stop,116.59,13686,1938,63,30,710,0.3664,0.8673,30.76,9.31,5.73,2.47,8,0.41,0.6202,52.38,1.59,12.39,generated_texts/qwen3-14b__creative__prompt_detailed.txt
qwen3:14b__precise__prompt_standard,qwen3:14b,precise,Precise,prompt_standard,0.7,0.9,1.05,96000,65536,2240,stop,117.78,7581,1076,44,19,472,0.4387,0.882,24.39,7.75,5.71,2.84,3,0.28,0.6357,18.18,0.0,9.32,generated_texts/qwen3-14b__precise__prompt_standard.txt
qwen3:14b__precise__prompt_maxlength,qwen3:14b,precise,Precise,prompt_maxlength,0.7,0.9,1.05,96000,65536,10593,stop,110.21,51280,7603,283,90,1470,0.1933,0.8161,26.87,8.07,5.52,3.36,35,0.46,0.6183,26.86,0.0,25.99,generated_texts/qwen3-14b__precise__prompt_maxlength.txt
qwen3:14b__precise__prompt_detailed,qwen3:14b,precise,Precise,prompt_detailed,0.7,0.9,1.05,96000,65536,2615,stop,117.57,7933,1021,66,15,459,0.4496,0.8846,15.47,8.61,5.92,4.53,1,0.1,0.713,1.52,13.64,11.33,generated_texts/qwen3-14b__precise__prompt_detailed.txt
granite4.1:8b__std__prompt_standard,granite4.1:8b,std,Standard,prompt_standard,0.9,0.95,1.0,40000,32768,1053,stop,216.96,5587,777,35,21,416,0.5354,0.9061,22.2,12.08,5.83,2.05,3,0.39,0.6654,25.71,14.29,7.21,generated_texts/granite4.1-8b__std__prompt_standard.txt
granite4.1:8b__std__prompt_maxlength,granite4.1:8b,std,Standard,prompt_maxlength,0.9,0.95,1.0,40000,32768,3956,stop,208.16,21163,2756,129,114,973,0.353,0.8686,21.36,9.09,6.2,1.55,6,0.22,0.7268,10.85,3.88,15.21,generated_texts/granite4.1-8b__std__prompt_maxlength.txt
granite4.1:8b__std__prompt_detailed,granite4.1:8b,std,Standard,prompt_detailed,0.9,0.95,1.0,40000,32768,1044,stop,218.99,5388,722,37,20,329,0.4557,0.8806,19.51,12.91,5.99,2.3,1,0.14,0.6828,18.92,18.92,9.73,generated_texts/granite4.1-8b__std__prompt_detailed.txt
granite4.1:8b__creative__prompt_standard,granite4.1:8b,creative,Creative,prompt_standard,1.1,0.98,1.0,50000,32768,5347,stop,206.62,27871,3530,153,140,1193,0.338,0.8672,23.06,8.6,6.36,1.64,6,0.17,0.7482,16.99,0.0,16.51,generated_texts/granite4.1-8b__creative__prompt_standard.txt
granite4.1:8b__creative__prompt_maxlength,granite4.1:8b,creative,Creative,prompt_maxlength,1.1,0.98,1.0,50000,32768,7286,stop,200.49,41927,5455,229,83,1388,0.2544,0.8409,23.82,6.12,6.5,2.86,19,0.35,0.7217,13.1,0.0,22.69,generated_texts/granite4.1-8b__creative__prompt_maxlength.txt
granite4.1:8b__creative__prompt_detailed,granite4.1:8b,creative,Creative,prompt_detailed,1.1,0.98,1.0,50000,32768,799,stop,218.01,4142,540,22,11,314,0.5815,0.9138,24.55,10.06,6.3,2.09,3,0.56,0.6889,31.82,4.55,6.05,generated_texts/granite4.1-8b__creative__prompt_detailed.txt
granite4.1:8b__precise__prompt_standard,granite4.1:8b,precise,Precise,prompt_standard,0.7,0.9,1.05,35000,32768,862,stop,219.51,4403,580,30,20,303,0.5224,0.898,19.33,11.72,6.01,2,2,0.34,0.6983,23.33,20.0,8.58,generated_texts/granite4.1-8b__precise__prompt_standard.txt
granite4.1:8b__precise__prompt_maxlength,granite4.1:8b,precise,Precise,prompt_maxlength,0.7,0.9,1.05,35000,32768,753,stop,220.4,4162,539,26,17,322,0.5974,0.9181,20.73,8.17,6.24,1.76,2,0.37,0.718,11.54,3.85,5.28,generated_texts/granite4.1-8b__precise__prompt_maxlength.txt
granite4.1:8b__precise__prompt_detailed,granite4.1:8b,precise,Precise,prompt_detailed,0.7,0.9,1.05,35000,32768,1458,stop,218.27,6560,873,40,35,397,0.4548,0.8836,21.82,16.41,5.75,1.71,5,0.57,0.6964,27.5,22.5,10.58,generated_texts/granite4.1-8b__precise__prompt_detailed.txt
phi4:14b__std__prompt_standard,phi4:14b,std,Standard,prompt_standard,0.9,0.95,1.0,40000,32768,3760,stop,144.72,20338,2974,133,74,780,0.2623,0.8327,22.36,11.49,5.6,2.12,7,0.24,0.6416,21.8,14.29,19.87,generated_texts/phi4-14b__std__prompt_standard.txt
phi4:14b__std__prompt_maxlength,phi4:14b,std,Standard,prompt_maxlength,0.9,0.95,1.0,40000,32768,1659,stop,147.97,9491,1337,53,27,537,0.4016,0.8733,25.23,7.48,5.91,2.33,6,0.45,0.6298,18.87,1.89,10.61,generated_texts/phi4-14b__std__prompt_maxlength.txt
phi4:14b__std__prompt_detailed,phi4:14b,std,Standard,prompt_detailed,0.9,0.95,1.0,40000,32768,1350,stop,147.58,7200,985,42,31,428,0.4345,0.8791,23.45,7.29,5.99,1.9,1,0.1,0.669,14.29,2.38,9.81,generated_texts/phi4-14b__std__prompt_detailed.txt
phi4:14b__creative__prompt_standard,phi4:14b,creative,Creative,prompt_standard,1.1,0.98,1.0,50000,32768,1123,stop,148.97,6330,859,33,14,440,0.5122,0.901,26.03,7.61,6.1,2.43,4,0.47,0.6764,30.3,0.0,7.05,generated_texts/phi4-14b__creative__prompt_standard.txt
phi4:14b__creative__prompt_maxlength,phi4:14b,creative,Creative,prompt_maxlength,1.1,0.98,1.0,50000,32768,1756,stop,147.74,10316,1338,51,67,617,0.4611,0.8925,26.24,8.79,6.38,1.33,8,0.6,0.7152,33.33,0.0,10.37,generated_texts/phi4-14b__creative__prompt_maxlength.txt
phi4:14b__creative__prompt_detailed,phi4:14b,creative,Creative,prompt_detailed,1.1,0.98,1.0,50000,32768,1388,stop,148.1,7486,1026,48,23,477,0.4649,0.8895,21.38,12.06,6.03,2.48,3,0.29,0.6745,22.92,14.58,9.64,generated_texts/phi4-14b__creative__prompt_detailed.txt
phi4:14b__precise__prompt_standard,phi4:14b,precise,Precise,prompt_standard,0.7,0.9,1.05,35000,32768,1211,stop,149.42,6591,919,49,29,413,0.4494,0.8828,18.76,10.93,5.87,2.03,2,0.22,0.6561,10.2,16.33,10.65,generated_texts/phi4-14b__precise__prompt_standard.txt
phi4:14b__precise__prompt_maxlength,phi4:14b,precise,Precise,prompt_maxlength,0.7,0.9,1.05,35000,32768,2474,stop,147.66,14038,2022,88,40,727,0.3595,0.8656,22.98,6.62,5.77,2.42,11,0.54,0.64,12.5,1.14,13.2,generated_texts/phi4-14b__precise__prompt_maxlength.txt
phi4:14b__precise__prompt_detailed,phi4:14b,precise,Precise,prompt_detailed,0.7,0.9,1.05,35000,32768,1591,stop,149.11,8335,1158,56,30,445,0.3843,0.8644,20.68,9.62,5.82,2.27,2,0.17,0.6287,14.29,10.71,15.06,generated_texts/phi4-14b__precise__prompt_detailed.txt
deepseek-r1:1.5b__std__prompt_standard,deepseek-r1:1.5b,std,Standard,prompt_standard,0.9,0.95,1.0,35000,32768,7313,stop,621.57,35787,5273,232,135,693,0.1314,0.7632,22.72,8.4,5.53,1.95,9,0.17,0.5998,14.22,5.17,33.62,generated_texts/deepseek-r1-1.5b__std__prompt_standard.txt
deepseek-r1:1.5b__std__prompt_maxlength,deepseek-r1:1.5b,std,Standard,prompt_maxlength,0.9,0.95,1.0,35000,32768,1097,stop,653.29,3016,385,26,18,229,0.5948,0.9127,14.81,5.37,6.44,1.94,0,0.0,0.7792,3.85,0.0,6.11,generated_texts/deepseek-r1-1.5b__std__prompt_maxlength.txt
deepseek-r1:1.5b__std__prompt_detailed,deepseek-r1:1.5b,std,Standard,prompt_detailed,0.9,0.95,1.0,35000,32768,2691,stop,653.26,9979,1386,81,57,475,0.3427,0.852,17.11,11.1,5.8,2,0,0.0,0.6494,8.64,19.75,16.21,generated_texts/deepseek-r1-1.5b__std__prompt_detailed.txt
deepseek-r1:1.5b__creative__prompt_standard,deepseek-r1:1.5b,creative,Creative,prompt_standard,1.1,0.98,1.0,35000,32768,1682,stop,671.34,6298,889,40,23,386,0.4342,0.8771,22.2,6.58,5.75,2.26,3,0.34,0.6502,10.0,0.0,10.36,generated_texts/deepseek-r1-1.5b__creative__prompt_standard.txt
deepseek-r1:1.5b__creative__prompt_maxlength,deepseek-r1:1.5b,creative,Creative,prompt_maxlength,1.1,0.98,1.0,35000,32768,2634,stop,653.37,8403,1212,106,24,398,0.3284,0.8432,11.43,5.94,5.42,4.75,4,0.33,0.6815,0.94,15.09,15.58,generated_texts/deepseek-r1-1.5b__creative__prompt_maxlength.txt
deepseek-r1:1.5b__creative__prompt_detailed,deepseek-r1:1.5b,creative,Creative,prompt_detailed,1.1,0.98,1.0,35000,32768,4120,stop,642.62,18275,2778,143,88,741,0.2667,0.8333,19.42,11.95,5.3,2.02,39,1.4,0.5932,7.69,9.79,19.16,generated_texts/deepseek-r1-1.5b__creative__prompt_detailed.txt
deepseek-r1:1.5b__precise__prompt_standard,deepseek-r1:1.5b,precise,Precise,prompt_standard,0.7,0.9,1.05,35000,32768,4012,stop,649.81,18306,2637,176,105,616,0.2336,0.8154,14.98,8.97,5.63,2.22,11,0.42,0.6295,0.0,21.02,24.03,generated_texts/deepseek-r1-1.5b__precise__prompt_standard.txt
deepseek-r1:1.5b__precise__prompt_maxlength,deepseek-r1:1.5b,precise,Precise,prompt_maxlength,0.7,0.9,1.05,35000,32768,2614,stop,664.67,11584,1694,80,49,514,0.3034,0.8396,21.18,6.17,5.54,1.86,2,0.12,0.6204,5.0,0.0,18.29,generated_texts/deepseek-r1-1.5b__precise__prompt_maxlength.txt
deepseek-r1:1.5b__precise__prompt_detailed,deepseek-r1:1.5b,precise,Precise,prompt_detailed,0.7,0.9,1.05,35000,32768,2040,stop,667.82,4829,639,42,33,278,0.4351,0.8712,15.21,4.99,6.0,1.73,4,0.63,0.7042,0.0,0.0,14.39,generated_texts/deepseek-r1-1.5b__precise__prompt_detailed.txt
mistral-nemo:12b__std__prompt_standard,mistral-nemo:12b,std,Standard,prompt_standard,0.9,0.95,1.0,96000,65536,1127,stop,183.77,5544,789,34,23,356,0.4512,0.8807,23.21,7.97,5.6,1.74,1,0.13,0.673,17.65,0.0,12.08,generated_texts/mistral-nemo-12b__std__prompt_standard.txt
mistral-nemo:12b__std__prompt_maxlength,mistral-nemo:12b,std,Standard,prompt_maxlength,0.9,0.95,1.0,96000,65536,942,stop,185.66,3873,512,22,12,266,0.5195,0.895,23.27,15.72,5.74,2.25,1,0.2,0.627,13.64,9.09,7.14,generated_texts/mistral-nemo-12b__std__prompt_maxlength.txt
mistral-nemo:12b__std__prompt_detailed,mistral-nemo:12b,std,Standard,prompt_detailed,0.9,0.95,1.0,96000,65536,1133,stop,184.71,5208,733,42,21,310,0.4229,0.8696,17.45,9.9,5.58,2.43,2,0.27,0.663,9.52,7.14,13.23,generated_texts/mistral-nemo-12b__std__prompt_detailed.txt
mistral-nemo:12b__creative__prompt_standard,mistral-nemo:12b,creative,Creative,prompt_standard,1.1,0.98,1.0,96000,65536,499,stop,185.85,2489,329,14,10,199,0.6049,0.9133,23.5,11.12,6.04,1.6,0,0.0,0.6535,35.71,0.0,7.04,generated_texts/mistral-nemo-12b__creative__prompt_standard.txt
mistral-nemo:12b__creative__prompt_maxlength,mistral-nemo:12b,creative,Creative,prompt_maxlength,1.1,0.98,1.0,96000,65536,2615,stop,181.98,14077,1938,95,48,759,0.3916,0.8762,20.4,10.52,6.0,2.31,21,1.08,0.6852,11.58,14.74,10.41,generated_texts/mistral-nemo-12b__creative__prompt_maxlength.txt
mistral-nemo:12b__creative__prompt_detailed,mistral-nemo:12b,creative,Creative,prompt_detailed,1.1,0.98,1.0,96000,65536,810,stop,185.24,3813,520,23,16,267,0.5135,0.8934,22.61,8.7,5.88,1.75,2,0.38,0.6731,13.04,4.35,8.24,generated_texts/mistral-nemo-12b__creative__prompt_detailed.txt
mistral-nemo:12b__precise__prompt_standard,mistral-nemo:12b,precise,Precise,prompt_standard,0.7,0.9,1.05,96000,65536,1505,stop,186.35,6382,854,93,22,389,0.4555,0.8835,9.11,10.17,5.68,4.68,1,0.12,0.7237,2.15,50.54,11.57,generated_texts/mistral-nemo-12b__precise__prompt_standard.txt
mistral-nemo:12b__precise__prompt_maxlength,mistral-nemo:12b,precise,Precise,prompt_maxlength,0.7,0.9,1.05,96000,65536,2028,stop,184.91,8752,1197,122,37,451,0.3768,0.8623,9.78,11.61,5.65,3.62,4,0.33,0.7176,9.02,55.74,17.29,generated_texts/mistral-nemo-12b__precise__prompt_maxlength.txt
mistral-nemo:12b__precise__prompt_detailed,mistral-nemo:12b,precise,Precise,prompt_detailed,0.7,0.9,1.05,96000,65536,1726,stop,185.83,6396,830,104,35,357,0.4301,0.8745,7.94,9.46,5.71,3.34,2,0.24,0.7554,1.92,56.73,14.01,generated_texts/mistral-nemo-12b__precise__prompt_detailed.txt
gpt-oss:20b__std__prompt_standard,gpt-oss:20b,std,Standard,prompt_standard,0.9,0.95,1.0,40000,32768,514,stop,236.1,345,69,3,1,50,0.7246,0.9239,23,2.65,3.91,3,1,1.45,0.5362,0.0,0.0,4.0,generated_texts/gpt-oss-20b__std__prompt_standard.txt
gpt-oss:20b__std__prompt_maxlength,gpt-oss:20b,std,Standard,prompt_maxlength,0.9,0.95,1.0,40000,32768,4744,stop,237.13,21836,2797,198,122,1218,0.4355,0.8952,14.11,11.18,6.16,2.15,5,0.18,0.7501,7.07,27.78,11.33,generated_texts/gpt-oss-20b__std__prompt_maxlength.txt
gpt-oss:20b__creative__prompt_standard,gpt-oss:20b,creative,Creative,prompt_standard,1.1,0.98,1.0,50000,32768,202,stop,233.3,360,68,3,1,53,0.7794,0.9409,22.67,6.66,4.22,3,1,1.47,0.5441,0.0,0.0,3.77,generated_texts/gpt-oss-20b__creative__prompt_standard.txt
gpt-oss:20b__creative__prompt_maxlength,gpt-oss:20b,creative,Creative,prompt_maxlength,1.1,0.98,1.0,50000,32768,5707,stop,235.91,27365,3488,224,134,1467,0.4206,0.8938,15.56,11.87,6.32,2.1,8,0.23,0.7698,9.82,21.43,11.79,generated_texts/gpt-oss-20b__creative__prompt_maxlength.txt
gpt-oss:20b__precise__prompt_standard,gpt-oss:20b,precise,Precise,prompt_standard,0.7,0.9,1.05,35000,32768,6554,stop,235.38,27821,3521,275,112,1333,0.3786,0.8811,12.73,10.53,6.03,2.77,12,0.34,0.7867,5.09,25.45,14.7,generated_texts/gpt-oss-20b__precise__prompt_standard.txt
gpt-oss:20b__precise__prompt_maxlength,gpt-oss:20b,precise,Precise,prompt_maxlength,0.7,0.9,1.05,35000,32768,3784,stop,239.16,15120,1838,151,121,877,0.4771,0.9016,12.13,12.19,6.28,1.79,6,0.33,0.7987,3.97,35.76,10.03,generated_texts/gpt-oss-20b__precise__prompt_maxlength.txt
qwen2.5:3b__std__prompt_standard,qwen2.5:3b,std,Standard,prompt_standard,0.9,0.95,1.0,40000,32768,1198,stop,412.62,6561,950,42,12,378,0.3979,0.8656,22.62,8.03,5.7,3.67,3,0.32,0.6295,19.05,0.0,12.7,generated_texts/qwen2.5-3b__std__prompt_standard.txt
qwen2.5:3b__std__prompt_maxlength,qwen2.5:3b,std,Standard,prompt_maxlength,0.9,0.95,1.0,40000,32768,4378,stop,407.61,26100,3709,151,57,942,0.254,0.8332,24.56,9.07,5.89,2.82,37,1.0,0.6376,20.53,0.66,20.7,generated_texts/qwen2.5-3b__std__prompt_maxlength.txt
qwen2.5:3b__std__prompt_detailed,qwen2.5:3b,std,Standard,prompt_detailed,0.9,0.95,1.0,40000,32768,8033,stop,388.2,47056,6617,272,154,1279,0.1933,0.8132,24.33,7.31,5.92,2.25,30,0.45,0.653,16.18,0.37,26.11,generated_texts/qwen2.5-3b__std__prompt_detailed.txt
qwen2.5:3b__creative__prompt_standard,qwen2.5:3b,creative,Creative,prompt_standard,1.1,0.98,1.0,40000,32768,3921,stop,412.65,21991,3097,127,48,1022,0.33,0.8621,24.37,9.36,5.9,2.81,24,0.77,0.6836,22.05,0.79,16.54,generated_texts/qwen2.5-3b__creative__prompt_standard.txt
qwen2.5:3b__creative__prompt_maxlength,qwen2.5:3b,creative,Creative,prompt_maxlength,1.1,0.98,1.0,40000,32768,1121,stop,422.34,6760,943,32,8,456,0.4836,0.8939,29.47,11.38,6.03,4,7,0.74,0.6649,50.0,0.0,9.65,generated_texts/qwen2.5-3b__creative__prompt_maxlength.txt
qwen2.5:3b__creative__prompt_detailed,qwen2.5:3b,creative,Creative,prompt_detailed,1.1,0.98,1.0,40000,32768,1263,stop,425.87,7325,1019,41,13,482,0.473,0.8919,24.85,7.03,6.04,3.15,7,0.69,0.6506,24.39,0.0,8.09,generated_texts/qwen2.5-3b__creative__prompt_detailed.txt
qwen2.5:3b__precise__prompt_standard,qwen2.5:3b,precise,Precise,prompt_standard,0.7,0.9,1.05,40000,32768,2700,stop,416.34,14011,2019,91,52,669,0.3314,0.8549,22.18,9.47,5.5,2.19,14,0.69,0.6503,13.19,0.0,16.29,generated_texts/qwen2.5-3b__precise__prompt_standard.txt
qwen2.5:3b__precise__prompt_maxlength,qwen2.5:3b,precise,Precise,prompt_maxlength,0.7,0.9,1.05,40000,32768,2757,stop,419.16,16292,2224,106,46,690,0.3103,0.8481,20.98,6.44,6.14,2.61,19,0.85,0.6862,5.66,1.89,20.29,generated_texts/qwen2.5-3b__precise__prompt_maxlength.txt
qwen2.5:3b__precise__prompt_detailed,qwen2.5:3b,precise,Precise,prompt_detailed,0.7,0.9,1.05,40000,32768,799,stop,428.31,4106,571,25,17,285,0.4991,0.8905,22.84,6.98,5.87,1.94,4,0.7,0.655,12.0,0.0,10.18,generated_texts/qwen2.5-3b__precise__prompt_detailed.txt
